runner_mode,student_id,name,grade,grade_group,segment,expected_grade_group,expected_ability,expected_diligence,expected_segment,classification_ok,preferred_subject,strong_subject,recent_avg_score,avg_completion_rate,wrong_content_rate,wrong_content_total,wrong_content_done,skipping_habit,guessing_habit,careless_habit,wrong_cause,frequent_wrong_type,task_index,task_count,available_units,task_subject,task_unit,task_difficulty,ai_predicted_score,problem_id,touchpoint,use_case,turn,tp4_cause,scenario_label,has_wrong_answers,wrong_content_done_today,response_text,choices,message_types,error
graph,lower-high-lazy,도윤,2,lower,잘함+불성실,lower,high,lazy,잘함+불성실,True,국어,국어,94,42,30,2,0,True,False,True,실수,받침이 있는 낱말 읽기,1,4,1. 국어 - 받침이 있는 낱말 읽기 | 2. 수학 - 한 자리 수 더하기 | 3. 통합 - 봄 관찰하기 | 4. 영어 - 알파벳 익히기,국어,받침이 있는 낱말 읽기,하,93,lower_korean_reading_001,tp1,talk,1,,TP1 home-screen entry,True,False,"도윤아, 뽀롱~ 안녕!

도윤이는 국어를 제일 좋아하고 잘한다고 했지? 쌤이 보기에 국어는 도윤이가 100점을 받을 수 있는 과목이야.

'받침이 있는 낱말 읽기' 단원, 100점 목표로 바로 시작해볼까? 뽀로롱!",,text,
graph,lower-high-lazy,도윤,2,lower,잘함+불성실,lower,high,lazy,잘함+불성실,True,국어,국어,94,42,30,2,0,True,False,True,실수,받침이 있는 낱말 읽기,1,4,1. 국어 - 받침이 있는 낱말 읽기 | 2. 수학 - 한 자리 수 더하기 | 3. 통합 - 봄 관찰하기 | 4. 영어 - 알파벳 익히기,국어,받침이 있는 낱말 읽기,하,93,lower_korean_reading_001,tp1,chat,2,,TP1 home-screen entry simulated student follow-up,True,False,"도윤아, 역시! 뽀롱~

'받침이 있는 낱말 읽기' 단원, 100점 도전! 바로 시작해 보자!",,text,
graph,lower-high-lazy,도윤,2,lower,잘함+불성실,lower,high,lazy,잘함+불성실,True,국어,국어,94,42,30,2,0,True,False,True,실수,받침이 있는 낱말 읽기,1,4,1. 국어 - 받침이 있는 낱말 읽기 | 2. 수학 - 한 자리 수 더하기 | 3. 통합 - 봄 관찰하기 | 4. 영어 - 알파벳 익히기,국어,받침이 있는 낱말 읽기,하,93,lower_korean_reading_001,tp2,talk,1,,TP2 unit completed,True,False,"도윤아, 안녕! 뽀롱~

도윤이는 알파벳을 제일 잘할 것 같아! 영어 '알파벳 익히기' 단원, 한번 도전해볼까? 뽀롱쌤은 도윤이가 100점 받을 거라고 믿어!",,text,
graph,lower-high-lazy,도윤,2,lower,잘함+불성실,lower,high,lazy,잘함+불성실,True,국어,국어,94,42,30,2,0,True,False,True,실수,받침이 있는 낱말 읽기,1,4,1. 국어 - 받침이 있는 낱말 읽기 | 2. 수학 - 한 자리 수 더하기 | 3. 통합 - 봄 관찰하기 | 4. 영어 - 알파벳 익히기,국어,받침이 있는 낱말 읽기,하,93,lower_korean_reading_001,tp2,chat,2,,TP2 unit completed simulated student follow-up,True,False,"도윤아, 역시! 뽀롱쌤이 도윤이를 믿는 이유가 있다니까!

바로 시작해보자! 뽀로롱!",,text,
graph,lower-high-lazy,도윤,2,lower,잘함+불성실,lower,high,lazy,잘함+불성실,True,국어,국어,94,42,30,2,0,True,False,True,실수,받침이 있는 낱말 읽기,1,4,1. 국어 - 받침이 있는 낱말 읽기 | 2. 수학 - 한 자리 수 더하기 | 3. 통합 - 봄 관찰하기 | 4. 영어 - 알파벳 익히기,국어,받침이 있는 낱말 읽기,하,93,lower_korean_reading_001,tp3,talk,1,,TP3 exit prevention,True,False,"도윤아, 뽀롱~ 벌써 힘들구나. 😥

그럼 딱 한 문제만 더 풀어볼까? 쌤이랑 같이 힘내서 마무리하면 뿌듯할 거야!",,text,
graph,lower-high-lazy,도윤,2,lower,잘함+불성실,lower,high,lazy,잘함+불성실,True,국어,국어,94,42,30,2,0,True,False,True,실수,받침이 있는 낱말 읽기,1,4,1. 국어 - 받침이 있는 낱말 읽기 | 2. 수학 - 한 자리 수 더하기 | 3. 통합 - 봄 관찰하기 | 4. 영어 - 알파벳 익히기,국어,받침이 있는 낱말 읽기,하,93,lower_korean_reading_001,tp3,chat,2,,TP3 exit prevention simulated student follow-up,True,False,앗! 공부 관련 이야기만 도와줄 수 있어. 다시 물어봐줘! 😊,,text,
graph,lower-high-lazy,도윤,2,lower,잘함+불성실,lower,high,lazy,잘함+불성실,True,국어,국어,94,42,30,2,0,True,False,True,실수,받침이 있는 낱말 읽기,1,4,1. 국어 - 받침이 있는 낱말 읽기 | 2. 수학 - 한 자리 수 더하기 | 3. 통합 - 봄 관찰하기 | 4. 영어 - 알파벳 익히기,국어,받침이 있는 낱말 읽기,하,93,lower_korean_reading_001,tp4,learning,1,,TP4 stuck: cause choices,True,False,"좋아, 한 단계만 같이 생각해보자.",,text,
graph,lower-high-lazy,도윤,2,lower,잘함+불성실,lower,high,lazy,잘함+불성실,True,국어,국어,94,42,30,2,0,True,False,True,실수,받침이 있는 낱말 읽기,1,4,1. 국어 - 받침이 있는 낱말 읽기 | 2. 수학 - 한 자리 수 더하기 | 3. 통합 - 봄 관찰하기 | 4. 영어 - 알파벳 익히기,국어,받침이 있는 낱말 읽기,하,93,lower_korean_reading_001,tp4,learning,2,confused_question,TP4 stuck: coaching after cause,True,False,앗! 공부 관련 이야기만 도와줄 수 있어. 다시 물어봐줘! 😊,,text,
graph,lower-high-lazy,도윤,2,lower,잘함+불성실,lower,high,lazy,잘함+불성실,True,국어,국어,94,42,30,2,0,True,False,True,실수,받침이 있는 낱말 읽기,1,4,1. 국어 - 받침이 있는 낱말 읽기 | 2. 수학 - 한 자리 수 더하기 | 3. 통합 - 봄 관찰하기 | 4. 영어 - 알파벳 익히기,국어,받침이 있는 낱말 읽기,하,93,lower_korean_reading_001,tp4,learning,3,,TP4 coaching follow-up 1,True,False,"도윤아, 좋아. 낱말의 마지막 글자를 먼저 봐보자.
받침이 있는지 그 글자만 확인해볼까?",,text,
graph,lower-high-lazy,도윤,2,lower,잘함+불성실,lower,high,lazy,잘함+불성실,True,국어,국어,94,42,30,2,0,True,False,True,실수,받침이 있는 낱말 읽기,1,4,1. 국어 - 받침이 있는 낱말 읽기 | 2. 수학 - 한 자리 수 더하기 | 3. 통합 - 봄 관찰하기 | 4. 영어 - 알파벳 익히기,국어,받침이 있는 낱말 읽기,하,93,lower_korean_reading_001,tp4,learning,4,,TP4 coaching follow-up 2,True,False,"맞아, 도윤아. 마지막 글자 아래를 보면 돼.
그 글자에 붙은 게 있는지 먼저 찾아볼까?",,text,
